id,first_name,last_name,email_address,phone_number,address
12345,John,Smith,john.smith@example.com,555-1234,123 Main St.
23456,Jane,Doe,jane.doe@example.com,555-5678,456 Elm St.
34567,Robert,Johnson,robert.johnson@example.com,555-9012,789 Oak St.
45678,Sarah,Lee,sarah.lee@example.com,555-3456,987 Maple St.
56789,David,Wang,david.wang@example.com,555-7890,654 Birch St.
67890,Emily,Chen,emily.chen@example.com,555-2345,321 Pine St.
78901,Michael,Lin,michael.lin@example.com,555-6789,654 Cedar St.
89012,Stephanie,Tan,stephanie.tan@example.com,555-1234,987 Spruce St.
90123,William,Chen,william.chen@example.com,555-5678,123 Poplar St.
01234,Amanda,Liu,amanda.liu@example.com,555-9012,456 Fir St.
12346,James,Lee,james.lee@example.com,555-3456,789 Willow St.
23457,Jessica,Chang,jessica.chang@example.com,555-7890,654 Elm St.
34568,Andrew,Lin,andrew.lin@example.com,555-2345,321 Oak St.
45679,Karen,Liu,karen.liu@example.com,555-6789,987 Maple St.
56790,Rachel,Wu,rachel.wu@example.com,555-1234,654 Cedar St.
